,Url,Title,Desc,img,tags,Candidate,unique_tags
0,"https://makerepo.com/akari033/2100.basic-training-prelab
",Basic Training Pre-lab,This is the pre-lab for basic training of lab 3,,,False,Mobile Development
1,"https://makerepo.com/zay/2099.car
",car,No desc,https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcDlmIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6b8f44f9e76961674094a377ede4efc47408df1c/Shelby.jpg,['Other Projects / Autres projets'],False,Internet of Things
2,"https://makerepo.com/jboud030/2098.moo-money
",Moo Money,"<div>Josiah Bigras, Almaza Karam, Nathan Lee, Autumn Shaw <br><a href=""https://github.com/GreyLake/GNG4120-G3"" target=""_blank"" rel=""noopener noreferrer"" data-turbo=""false"">https://github.com/GreyLake/GNG4120-G3</a>&nbsp;</div><div><br>Moo Money is an innovative online financial education company focused on providing high-quality video lessons. By leveraging modern internet technology and industry insights, Moo Money aims to provide children and young adults with streamlined and accessible financial education to support their personal growth. Moo Money's core business concept revolves around offering tailored financial and educational products and services designed for anyone and recognizing that the modern education system severely underpins young people when it comes to financial knowledge; Moo Money provides a convenient and easy-to-use solution to this common problem. Moo Money is accessed online through a website or application and provides a diverse catalogue of financial and educational media. Included in Moo Money’s catalogue are lectures on financial topics, interactive education games/quizzes, real-time financial advice, and more.&nbsp;</div>",https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUZmIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0a8f4efbb205f6257e4cc2c82244f81ecc328318/Logo.png,['Course-related Projects / Projets reliés a des cours'],False,uOttawa Team Projects / Projets d'équipes uOttawa
3,"https://makerepo.com/jboud030/2097.invisifall
",InvisiFall,<div>This is a collaborative project undertaken by five master's students and Professor Miodrag Bolic to design and implement a solution for Zodiac Light Waves company.&nbsp;</div>,https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUJmIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--166c8e305c924252a9c62ab3a399ad2eed593b83/Screenshot%202024-08-08%20112044.png,['Course-related Projects / Projets reliés a des cours'],False,GNG2101/GNG2501
4,"https://makerepo.com/jboud030/2096.move-it-calculate-it
","Move It, Calculate It","<div>Dive into the future of moving with Jason's Moving Company's innovative app. Designed to simplify your move, our app offers instant, accurate cost estimates based on the furniture in your home. Experience a seamless booking process and discover how easy moving can be with our automatic cost calculator. Perfect for anyone looking to move stress-free. Explore the app's features and benefits in our latest video! This app has been developed during the period of our Industry Internship Project Course as part of our Masters Degree at the University of Ottawa under the supervision of Prof. Liam Peyton as our technical advisor and Prof. Hanna Anis as our course in-charge, for Jason's Moving Company owned by Jason LeSage.&nbsp;</div>",https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDlmIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b4d90d9a099fdd634cc4b1090e02013105e68b69/Screenshot%202024-08-08%20111354.png,"['Course-related Projects / Projets reliés a des cours', 'Mobile Development / Developpement Mobile']",False,Laser Cutter
5,"https://makerepo.com/CatSatoh/2095.accurate-colour-detection-clarity
","Accurate Colour Detection - ""Clarity""",<div>A colour detection app made to help colour blind individuals to detect colours of everyday objects.</div>,https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEplIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5541f725d370a5dd20676490ecb866acaf06a472/IMG_2479.jpeg,"['GNG2101/GNG2501', 'Mobile Development / Developpement Mobile']",False,Wearable
6,"https://makerepo.com/Yuhanwu/2094.z12-schedule-display
",z1.2 Schedule Display,"<div>Develop a personal,intuitive, and accessible calendar that the client as well as her caretakers will be able to use and edit on their own as well as notify the client of any upcoming events.</div>",https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUJlIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8d6d472a5ee08c196d2a10d3a15296bd105deddc/Group%20picture.PNG,"['Course-related Projects / Projets reliés a des cours', 'GNG2101/GNG2501']",False,Microcontrôleur Arduino
7,"https://makerepo.com/SendweM/2093.accessible-room-control
",Accessible Room Control,No desc,https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3RlIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--be54d667d92d39354b7a64de7ee3e6a8f0f7b7ea/IMG_8178.jpg,"['GNG2101/GNG2501', 'Course-related Projects / Projets reliés a des cours']",False,Internet of Things / Internet des objets
8,"https://makerepo.com/PaulChuk/2092.file-and-flaunt
",File and Flaunt,No desc,https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2xlIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--da0714e8d4110a329748066f6022351ab7d4b196/450382492_1621598132029193_4982266122757857748_n.jpg,"['GNG2101/GNG2501', 'Other Projects / Autres projets', 'Health Sciences / Sciences de la santé', 'Wearable', '3D Printer', '3D scanning', 'Drill press']",False,Next Engine 3D Scanner
9,"https://makerepo.com/ashnache/2090.phone-bed-mount
",Phone Bed Mount,"<div>We designed a phone bed mount device that our client with limited arm mobility could use to navigate her phone in bed. The caregivers can set up the phone bed mount when needed, and the client can swing it out of the way when it is not in use.<br><br></div><div><br></div><div><br></div>",https://makerepo.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdVplIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--560c6d84544d7360ff3bbd6c2708cb74f675977a/Screen%20Shot%202024-07-23%20at%208.26.13%20PM.png,,False,Go Pro
